estado,fecha,promedio_dias
Virginia,2011-07,95.0
Washington,2011-07,100.0
Massachusetts,2011-07,98.0
Indiana,2011-07,126.0
Arizona,2011-07,93.0
Tennessee,2011-07,124.0
Missouri,2011-07,105.5
Maryland,2011-07,122.0
Wisconsin,2011-07,126.0
Minnesota,2011-07,109.0
Colorado,2011-07,103.0
Alabama,2011-07,133.0
South Carolina,2011-07,143.0
Louisiana,2011-07,102.0
Kentucky,2011-07,89.0
Oregon,2011-07,110.0
Oklahoma,2011-07,109.0
Connecticut,2011-07,110.0
Iowa,2011-07,112.0
Mississippi,2011-07,120.5
Arkansas,2011-07,115.0
Kansas,2011-07,107.0
